ISIN,Strategy Key,Language,Fund Name,Currency,Last Updated Date,Text
LU0098868697,36676,en,Franklin High Yield Fund B(Mdis)USD,USD,2025-05-04 13:16:12,April 2025
LU0098868697,36676,zh-HK,Franklin High Yield Fund B(Mdis)USD,USD,2025-05-04 13:16:12,
LU0098868697,36676,zh-CN,Franklin High Yield Fund B(Mdis)USD,USD,2025-05-04 13:16:12,
LU2404266764,572336,en,Franklin Income Fund A (Mdirc) RMB-H1,CNH,2025-05-04 13:16:29,April 2025
LU2404266764,572336,zh-HK,Franklin Income Fund A (Mdirc) RMB-H1,CNH,2025-05-04 13:16:29,
LU2404266764,572336,zh-CN,Franklin Income Fund A (Mdirc) RMB-H1,CNH,2025-05-04 13:16:29,
LU2657138074,726819,en,Franklin Income Fund A (Mdis) CHF-H1,CHF,2025-05-04 13:16:29,April 2025
LU2657138074,726819,zh-HK,Franklin Income Fund A (Mdis) CHF-H1,CHF,2025-05-04 13:16:29,
LU2657138074,726819,zh-CN,Franklin Income Fund A (Mdis) CHF-H1,CHF,2025-05-04 13:16:29,
LU1929549753,364145,en,Franklin Income Fund A (Mdis) HKD,HKD,2025-05-04 13:16:29,April 2025
LU1929549753,364145,zh-HK,Franklin Income Fund A (Mdis) HKD,HKD,2025-05-04 13:16:29,
LU1929549753,364145,zh-CN,Franklin Income Fund A (Mdis) HKD,HKD,2025-05-04 13:16:29,
LU2657138157,726820,en,Franklin Income Fund A (Mdis) JPY-H1,JPY,2025-05-04 13:16:29,April 2025
LU2657138157,726820,zh-HK,Franklin Income Fund A (Mdis) JPY-H1,JPY,2025-05-04 13:16:29,
LU2657138157,726820,zh-CN,Franklin Income Fund A (Mdis) JPY-H1,JPY,2025-05-04 13:16:29,
LU1162222050,325216,en,Franklin Income Fund A(Mdis)AUD-H1,AUD,2025-05-04 13:16:29,April 2025
LU1162222050,325216,zh-HK,Franklin Income Fund A(Mdis)AUD-H1,AUD,2025-05-04 13:16:29,
LU1162222050,325216,zh-CN,Franklin Income Fund A(Mdis)AUD-H1,AUD,2025-05-04 13:16:29,
LU0976567460,630113,en,Franklin Income Fund A(Mdis)EUR-H1,EUR,2025-05-04 13:16:29,April 2025
LU0976567460,630113,zh-HK,Franklin Income Fund A(Mdis)EUR-H1,EUR,2025-05-04 13:16:29,
LU0976567460,630113,zh-CN,Franklin Income Fund A(Mdis)EUR-H1,EUR,2025-05-04 13:16:29,
LU2679920707,750986,en,Franklin Income Fund A(Mdis)GBP-H1,GBP,2025-05-04 13:16:29,April 2025
LU2679920707,750986,zh-HK,Franklin Income Fund A(Mdis)GBP-H1,GBP,2025-05-04 13:16:29,
LU2679920707,750986,zh-CN,Franklin Income Fund A(Mdis)GBP-H1,GBP,2025-05-04 13:16:29,
LU0098860793,17221,en,Franklin Income Fund A(Mdis)USD,USD,2025-05-04 13:16:29,April 2025
LU0098860793,17221,zh-HK,Franklin Income Fund A(Mdis)USD,USD,2025-05-04 13:16:29,
LU0098860793,17221,zh-CN,Franklin Income Fund A(Mdis)USD,USD,2025-05-04 13:16:29,
LU0128532388,36677,en,Franklin Income Fund B(Mdis)USD,USD,2025-05-04 13:16:29,April 2025
LU0128532388,36677,zh-HK,Franklin Income Fund B(Mdis)USD,USD,2025-05-04 13:16:29,
LU0128532388,36677,zh-CN,Franklin Income Fund B(Mdis)USD,USD,2025-05-04 13:16:29,
LU0231203729,9022,en,Franklin India Fund A(acc)USD,USD,2025-05-04 13:17:01,April 2025
LU0231203729,9022,zh-HK,Franklin India Fund A(acc)USD,USD,2025-05-04 13:17:01,
LU0231203729,9022,zh-CN,Franklin India Fund A(acc)USD,USD,2025-05-04 13:17:01,
LU0231204297,36678,en,Franklin India Fund B(acc)USD,USD,2025-05-04 13:17:01,April 2025
LU0231204297,36678,zh-HK,Franklin India Fund B(acc)USD,USD,2025-05-04 13:17:01,
LU0231204297,36678,zh-CN,Franklin India Fund B(acc)USD,USD,2025-05-04 13:17:01,
LU0352132285,17225,en,Franklin MENA Fund A(acc)EUR,EUR,2025-05-04 13:17:45,April 2025
LU0352132285,17225,zh-HK,Franklin MENA Fund A(acc)EUR,EUR,2025-05-04 13:17:45,
LU0352132285,17225,zh-CN,Franklin MENA Fund A(acc)EUR,EUR,2025-05-04 13:17:45,
LU0352132103,17238,en,Franklin MENA Fund A(acc)USD,USD,2025-05-04 13:17:45,April 2025
LU0352132103,17238,zh-HK,Franklin MENA Fund A(acc)USD,USD,2025-05-04 13:17:45,
LU0352132103,17238,zh-CN,Franklin MENA Fund A(acc)USD,USD,2025-05-04 13:17:45,
LU0140363002,17241,en,Franklin Mutual European Fund A(acc)EUR,EUR,2025-05-04 13:18:19,April 2025
LU0140363002,17241,zh-HK,Franklin Mutual European Fund A(acc)EUR,EUR,2025-05-04 13:18:19,
LU0140363002,17241,zh-CN,Franklin Mutual European Fund A(acc)EUR,EUR,2025-05-04 13:18:19,
LU0109981661,9993,en,Franklin Mutual European Fund A(acc)USD,USD,2025-05-04 13:18:19,April 2025
LU0109981661,9993,zh-HK,Franklin Mutual European Fund A(acc)USD,USD,2025-05-04 13:18:19,
LU0109981661,9993,zh-CN,Franklin Mutual European Fund A(acc)USD,USD,2025-05-04 13:18:19,
LU0109981828,17246,en,Franklin Mutual European Fund B(acc)USD,USD,2025-05-04 13:18:19,April 2025
LU0109981828,17246,zh-HK,Franklin Mutual European Fund B(acc)USD,USD,2025-05-04 13:18:19,
LU0109981828,17246,zh-CN,Franklin Mutual European Fund B(acc)USD,USD,2025-05-04 13:18:19,
LU0211331839,8960,en,Franklin Mutual Global Discovery Fund A(acc)USD,USD,2025-05-04 13:18:48,April 2025
LU0211331839,8960,zh-HK,Franklin Mutual Global Discovery Fund A(acc)USD,USD,2025-05-04 13:18:48,
LU0211331839,8960,zh-CN,Franklin Mutual Global Discovery Fund A(acc)USD,USD,2025-05-04 13:18:48,
LU0211332134,36680,en,Franklin Mutual Global Discovery Fund B(acc)USD,USD,2025-05-04 13:18:48,April 2025
LU0211332134,36680,zh-HK,Franklin Mutual Global Discovery Fund B(acc)USD,USD,2025-05-04 13:18:48,
LU0211332134,36680,zh-CN,Franklin Mutual Global Discovery Fund B(acc)USD,USD,2025-05-04 13:18:48,
LU0070302665,8370,en,Franklin Mutual U.S. Value Fund A(acc)USD,USD,2025-05-04 13:19:01,April 2025
LU0070302665,8370,zh-HK,Franklin Mutual U.S. Value Fund A(acc)USD,USD,2025-05-04 13:19:01,
LU0070302665,8370,zh-CN,Franklin Mutual U.S. Value Fund A(acc)USD,USD,2025-05-04 13:19:01,
IE00BQJZX531,53339,en,Franklin MV European Equity Growth and Income Fund Class A AUD Distributing (M) (Hedged) Plus,AUD,2024-04-10 11:24:39,April 2022
IE00BQJZX531,53339,zh-HK,Franklin MV European Equity Growth and Income Fund Class A AUD Distributing (M) (Hedged) Plus,AUD,2024-04-10 11:24:39,
IE00BQJZX531,53339,zh-CN,Franklin MV European Equity Growth and Income Fund Class A AUD Distributing (M) (Hedged) Plus,AUD,2024-04-10 11:24:39,
IE00BQJZX200,53338,en,Franklin MV European Equity Growth and Income Fund Class A Euro Distributing (M) Plus,EUR,2024-04-10 11:24:39,April 2022
IE00BQJZX200,53338,zh-CN,Franklin MV European Equity Growth and Income Fund Class A Euro Distributing (M) Plus,EUR,2024-04-10 11:24:39,
IE00BQJZX200,53338,zh-HK,Franklin MV European Equity Growth and Income Fund Class A Euro Distributing (M) Plus,EUR,2024-04-10 11:24:39,
IE00BQJZX424,53335,en,Franklin MV European Equity Growth and Income Fund Class A US$ Distributing (M) (Hedged) Plus,USD,2024-04-10 11:24:39,April 2022
IE00BQJZX424,53335,zh-HK,Franklin MV European Equity Growth and Income Fund Class A US$ Distributing (M) (Hedged) Plus,USD,2024-04-10 11:24:39,
IE00BQJZX424,53335,zh-CN,Franklin MV European Equity Growth and Income Fund Class A US$ Distributing (M) (Hedged) Plus,USD,2024-04-10 11:24:39,
IE00B5280D97,36542,en,Franklin MV European Equity Growth and Income Fund Class GA Euro Accumulating,EUR,2024-04-10 11:24:39,April 2022
IE00B5280D97,36542,zh-CN,Franklin MV European Equity Growth and Income Fund Class GA Euro Accumulating,EUR,2024-04-10 11:24:39,
IE00B5280D97,36542,zh-HK,Franklin MV European Equity Growth and Income Fund Class GA Euro Accumulating,EUR,2024-04-10 11:24:39,
IE00B50HYN61,36544,en,Franklin MV European Equity Growth and Income Fund Class GA US$ Accumulating,USD,2024-04-10 11:24:39,April 2022
IE00B50HYN61,36544,zh-CN,Franklin MV European Equity Growth and Income Fund Class GA US$ Accumulating,USD,2024-04-10 11:24:39,
IE00B50HYN61,36544,zh-HK,Franklin MV European Equity Growth and Income Fund Class GA US$ Accumulating,USD,2024-04-10 11:24:39,
IE00B53FBM50,36405,en,Franklin MV Global Equity Growth and Income Fund Class GA Euro Accumulating,EUR,2021-04-23 07:56:16,March 2021
IE00B53FBM50,36405,zh-CN,Franklin MV Global Equity Growth and Income Fund Class GA Euro Accumulating,EUR,2021-04-23 07:56:16,
IE00B53FBM50,36405,zh-HK,Franklin MV Global Equity Growth and Income Fund Class GA Euro Accumulating,EUR,2021-04-23 07:56:16,
IE00B51GHT90,36409,en,Franklin MV Global Equity Growth and Income Fund Class GA USD Accumulating,USD,2021-04-23 07:56:16,March 2021
IE00B51GHT90,36409,zh-CN,Franklin MV Global Equity Growth and Income Fund Class GA USD Accumulating,USD,2021-04-23 07:56:16,
IE00B51GHT90,36409,zh-HK,Franklin MV Global Equity Growth and Income Fund Class GA USD Accumulating,USD,2021-04-23 07:56:16,
LU0300741732,17227,en,Franklin Natural Resources Fund A(acc)EUR,EUR,2025-05-04 13:19:12,April 2025
LU0300741732,17227,zh-HK,Franklin Natural Resources Fund A(acc)EUR,EUR,2025-05-04 13:19:12,
LU0300741732,17227,zh-CN,Franklin Natural Resources Fund A(acc)EUR,EUR,2025-05-04 13:19:12,
LU0300736062,17226,en,Franklin Natural Resources Fund A(acc)USD,USD,2025-05-04 13:19:12,April 2025
LU0300736062,17226,zh-HK,Franklin Natural Resources Fund A(acc)USD,USD,2025-05-04 13:19:12,
LU0300736062,17226,zh-CN,Franklin Natural Resources Fund A(acc)USD,USD,2025-05-04 13:19:12,
LU1350351141,48634,en,Franklin NextStep Balanced Growth Fund A(acc)HKD,HKD,2024-08-06 04:56:41,April 2024
