STRATEGYKEY,TICKERNAME,ISIN,CCY,ACTIVE,LOCALE,DOCDATE,EXTERNALURL
52483,AB - Global High Yield Portfolio AA CAD H Inc,LU1069346069,CAD,true,zh_TW,2024-03-01 00:00:00.000,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=447&investmentid=F00000THSJ&documenttype=76&market=1447&investmenttype=1&frame=0
52483,AB - Global High Yield Portfolio AA CAD H Inc,LU1069346069,CAD,true,en,2024-03-01 00:00:00.000,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=451&investmentid=F00000THSJ&documenttype=76&market=1447&investmenttype=1&frame=0
52484,AB - American Income Portfolio AA CAD H Inc,LU1069345251,CAD,true,zh_TW,2024-03-01 00:00:00.000,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=447&investmentid=F00000THSD&documenttype=76&market=1447&investmenttype=1&frame=0
52484,AB - American Income Portfolio AA CAD H Inc,LU1069345251,CAD,true,en,2024-03-01 00:00:00.000,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=451&investmentid=F00000THSD&documenttype=76&market=1447&investmenttype=1&frame=0
52485,AB - American Income Portfolio AA Inc,LU1069345178,HKD,true,zh_TW,2024-03-01 00:00:00.000,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=447&investmentid=F00000SFBZ&documenttype=76&market=1447&investmenttype=1&frame=0
52485,AB - American Income Portfolio AA Inc,LU1069345178,HKD,true,en,2024-03-01 00:00:00.000,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=451&investmentid=F00000SFBZ&documenttype=76&market=1447&investmenttype=1&frame=0
52486,AB - Global High Yield Portfolio AA HKD Inc,LU1069345681,HKD,true,zh_TW,2024-03-01 00:00:00.000,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=447&investmentid=F00000TW60&documenttype=76&market=1447&investmenttype=1&frame=0
52486,AB - Global High Yield Portfolio AA HKD Inc,LU1069345681,HKD,true,en,2024-03-01 00:00:00.000,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=451&investmentid=F00000TW60&documenttype=76&market=1447&investmenttype=1&frame=0
52568,BlackRock Global Funds - Systematic Global Equity High Income Fund A8 Hedged CAD,LU1116320497,CAD,true,zh_TW,2024-04-01 00:00:00.000,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=447&investmentid=F00000UKBV&documenttype=76&market=1447&investmenttype=1&frame=0
52568,BlackRock Global Funds - Systematic Global Equity High Income Fund A8 Hedged CAD,LU1116320497,CAD,true,en,2024-04-01 00:00:00.000,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=451&investmentid=F00000UKBV&documenttype=76&market=1447&investmenttype=1&frame=0
