STRATEGYKEY,TICKERNAME,ISIN,CCY,ACTIVE,LOCALE,DOCDATE,EXTERNALURL,Date from ecura DB,Status as of 21/9/2024,Days since last updated in TTS DB,Days since last updated from PDF File
164916,Invesco Funds - Invesco Sustainable Global High Income Fund B Semi-annual Distribution USD,LU1775969816,USD,True,zh_TW,2018-10-08,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=447&investmentid=F000010OW6&documenttype=76&market=1452&investmenttype=1&frame=0,2024-04-01,date is not updated in fund universe,173.0,2175
164916,Invesco Funds - Invesco Sustainable Global High Income Fund B Semi-annual Distribution USD,LU1775969816,USD,True,en,2024-04-29,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=451&investmentid=F000010OW6&documenttype=76&market=1447&investmenttype=1&frame=0,2024-04-01,Up to date,173.0,145
164916,Invesco Funds - Invesco Sustainable Global High Income Fund B Semi-annual Distribution USD,LU1775969816,USD,True,en,2018-10-08,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=451&investmentid=F000010OW6&documenttype=76&market=1444&investmenttype=1&frame=0,2024-04-01,date is not updated in fund universe,173.0,2175
164916,Invesco Funds - Invesco Sustainable Global High Income Fund B Semi-annual Distribution USD,LU1775969816,USD,True,en,2018-10-08,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=451&investmentid=F000010OW6&documenttype=76&market=1452&investmenttype=1&frame=0,2024-04-01,date is not updated in fund universe,173.0,2175
164917,Invesco Funds - Invesco Global Small Cap Equity Fund A Annual Distribution USD,LU1775975201,USD,True,zh_TW,2024-04-29,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=447&investmentid=F000010OWQ&documenttype=76&market=1447&investmenttype=1&frame=0,2024-04-01,Up to date,173.0,145
164917,Invesco Funds - Invesco Global Small Cap Equity Fund A Annual Distribution USD,LU1775975201,USD,True,zh_TW,2018-10-08,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=447&investmentid=F000010OWQ&documenttype=76&market=1444&investmenttype=1&frame=0,2024-04-01,date is not updated in fund universe,173.0,2175
164917,Invesco Funds - Invesco Global Small Cap Equity Fund A Annual Distribution USD,LU1775975201,USD,True,zh_TW,2018-10-08,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=447&investmentid=F000010OWQ&documenttype=76&market=1452&investmenttype=1&frame=0,2024-04-01,date is not updated in fund universe,173.0,2175
164917,Invesco Funds - Invesco Global Small Cap Equity Fund A Annual Distribution USD,LU1775975201,USD,True,en,2024-04-29,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=451&investmentid=F000010OWQ&documenttype=76&market=1447&investmenttype=1&frame=0,2024-04-01,Up to date,173.0,145
164917,Invesco Funds - Invesco Global Small Cap Equity Fund A Annual Distribution USD,LU1775975201,USD,True,en,2018-10-08,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=451&investmentid=F000010OWQ&documenttype=76&market=1444&investmenttype=1&frame=0,2024-04-01,date is not updated in fund universe,173.0,2175
164917,Invesco Funds - Invesco Global Small Cap Equity Fund A Annual Distribution USD,LU1775975201,USD,True,en,2018-10-08,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=451&investmentid=F000010OWQ&documenttype=76&market=1452&investmenttype=1&frame=0,2024-04-01,date is not updated in fund universe,173.0,2175
164918,Invesco Funds - Invesco Emerging Markets ex-China Equity Fund A Annual Distribution USD,LU1775963454,USD,True,zh_TW,2024-04-29,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=447&investmentid=F000010P22&documenttype=76&market=1447&investmenttype=1&frame=0,2024-04-01,Up to date,173.0,145
164918,Invesco Funds - Invesco Emerging Markets ex-China Equity Fund A Annual Distribution USD,LU1775963454,USD,True,zh_TW,2018-10-08,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=447&investmentid=F000010P22&documenttype=76&market=1444&investmenttype=1&frame=0,2024-04-01,date is not updated in fund universe,173.0,2175
164918,Invesco Funds - Invesco Emerging Markets ex-China Equity Fund A Annual Distribution USD,LU1775963454,USD,True,zh_TW,2018-10-08,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=447&investmentid=F000010P22&documenttype=76&market=1452&investmenttype=1&frame=0,2024-04-01,date is not updated in fund universe,173.0,2175
164918,Invesco Funds - Invesco Emerging Markets ex-China Equity Fund A Annual Distribution USD,LU1775963454,USD,True,en,2024-04-29,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=451&investmentid=F000010P22&documenttype=76&market=1447&investmenttype=1&frame=0,2024-04-01,Up to date,173.0,145
164918,Invesco Funds - Invesco Emerging Markets ex-China Equity Fund A Annual Distribution USD,LU1775963454,USD,True,en,2018-10-08,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=451&investmentid=F000010P22&documenttype=76&market=1444&investmenttype=1&frame=0,2024-04-01,date is not updated in fund universe,173.0,2175
