Strategy Key,ISIN,Extracted Date from TTS DB,Extracted Date from PDF File,Days since last updated from TTS DB,Days since last updated from PDF File,Update Needed?
36466,IE00B3ML7W26,1/4/2023,7/6/2024,491,58,YES
85431,IE00BZCCX213,1/4/2023,7/6/2024,491,58,YES
36527,IE00B23Z7H10,1/4/2023,7/6/2024,491,58,YES
85432,IE00BZCCX106,1/4/2023,7/6/2024,491,58,YES
12757,IE00B19Z3V48,1/4/2023,7/6/2024,491,58,YES
107682,IE00BYZ0RW30,1/4/2023,7/6/2024,491,58,YES
36457,IE00B23Z9V93,1/12/2022,1/12/2022,612,612,NO
25045,IE00B19Z5K72,1/12/2022,1/12/2022,612,612,NO
17823,IE00B19Z8T70,1/7/2019,1/7/2019,1861,1861,NO
36451,IE00B515QN35,1/4/2023,7/6/2024,491,58,YES
17824,IE00B19Z7Y58,1/4/2023,7/6/2024,491,58,YES
25047,IE00B19Z6R17,1/4/2023,19/4/2024,491,107,YES
307150,IE0034205421,1/4/2023,19/4/2024,491,107,YES
337263,IE00B7T2MC11,1/4/2023,19/4/2024,491,107,YES
25046,IE00B19Z4V13,1/4/2023,19/4/2024,491,107,YES
17825,IE00B19Z8D11,1/7/2019,1/7/2019,1861,1861,NO
34954,LU0094557526,1/2/2024,18/6/2024,185,47,YES
12266,LU0094560744,1/2/2024,16/2/2024,185,170,NO
25071,LU0094555157,1/2/2024,16/2/2024,185,170,NO
8505,BMG0122Q1087,1/1/2024,18/1/2024,216,199,NO
82749,KYG5800M4518,1/2/2024,1/2/2024,185,185,NO
73842,KYG5800M4690,1/2/2024,1/2/2024,185,185,NO
45835,LU1077376421,1/8/2023,1/1/2024,369,216,YES
17904,LU0274383008,1/8/2023,1/1/2024,369,216,YES
107681,LU1328277881,1/8/2023,29/4/2024,369,97,YES
17907,LU0314109678,1/8/2023,29/4/2024,369,97,YES
45770,LU0661940865,1/3/2018,1/9/2018,2348,2164,YES
45802,LU0661936160,1/4/2020,30/4/2020,1586,1557,NO
205669,LU1813981328,1/8/2023,29/4/2024,369,97,YES
644794,LU2100725352,1/8/2023,29/4/2024,369,97,YES
645782,LU1813982219,1/8/2023,29/4/2024,369,97,YES
644793,LU1813981591,1/8/2023,29/4/2024,369,97,YES
645783,LU1813982482,1/8/2023,29/4/2024,369,97,YES
